original_index,rental_period_del,floor_del,not_lane_del,neighborhood,complex_name,city,district,address,district_del,city_del,rent,bedrooms,living-dining,bathrooms,loft,descript,sqmeters,entire_building,use_type,use_type_en,building_type,public_housing,detatched_lanehouse,attached_lanehouse,villa,type_not_listed,amenities,heat,ac,balcony,WIFI,outdoor_space,bathtub,floor_heat,oven
4011,长租,*/6层,6层,其他,三江,上海市,徐汇区,三江路401弄,徐汇,上海,4300,1,1,1,0,"['房屋特点l', '3面窗户', '通风', '透气', '视野好', 'n', '卧室', '15m2', '有阳台3m2', '朝南', '有东窗', '打开后特别通透明亮', 'n', '客厅', '10m2', '朝东', '方正明亮', 'n', '厨房朝北', '宽敞明亮', '让您和家人有足够的空间展现私家厨艺', 'n', '卫生朝东', '朝北', '干湿分离', '一人洗澡一人洗衣不是梦', 'n', '公共区域', '1梯2户', '楼道安静整洁', '邻居友好互助', 'l', '房内设施虽不是全新', '但全配', '可拎包入住交通极其便利l', '公交', '50', '157', '218', '301', '315', '326', '703', '704', '718', '816', '1204', '徐闵线l', '地铁', '地铁1号线', '12号线漕宝路', '0', '8km', '12号线', '3号线龙漕路站', '1km', '生活配套足l', '菜场', '超市', '银行一应俱全', '家乐福专车接送', 'l', '吃喝玩乐购为一体的日月光商场', '漕溪公园均是周末好去处l', '毗邻上海师范大学第三附属小学', '附属中学', '氛围好', '素质高l', '八五医院分院', '上海市第八人民医院均在步行范围内写在最后l', '虽然是老小区', '但小区安静整洁', 'l', '虽然不是新房子', '但温馨的家人人需要', 'l', '随时看房', '随时入住', 'l', '付三押一', '半年起租', 'l', '舒适温馨的空间给您带来好运气']",48,0,住宅,residential,老公房,1,0,0,0,0,,0,0,0,0,0,0,0,0
1421,长租,*/6层,6层,古美,平南一村28号601室,上海市,闵行区,东兰路307弄,闵行,上海,3960,1,1,1,0,"['真实房源真实图片真实价格', '季付', '4400元', '半年付', '3960元', '年付', '3520元真实佣金欢迎各位中介朋友大力推荐海量房源诚信合作', '郑', '药物八二幺', '信同号']",40,0,住宅,residential,新式里弄,0,0,1,0,0,['空调'],0,1,0,0,0,0,0,0
939,长租,*/6层,6层,徐家汇,东安四村,上海市,徐汇区,东安四村32号,徐汇,上海,7500,1,1,1,0,"['配置', '精装修', '家具家电齐全', '领包入住', '带超大阳台']",60,0,住宅,residential,老公房,1,0,0,0,0,"['暖气', '空调', '阳台']",1,1,1,0,0,0,0,0
2485,长租,*/6层,6层,徐家汇,振兴小区,上海市,徐汇区,东安路184号,徐汇,上海,6700,1,1,1,0,"['房子空关', '看房方便']",35,0,住宅,residential,老公房,1,0,0,0,0,"['空调', '独卫', '阳台']",0,1,1,0,0,0,0,0
3018,长租,*/6层,6层,徐家汇,振兴小区,上海市,徐汇区,东安路184弄184号,徐汇,上海,7200,1,1,1,0,"['1', '地段好', '核心区域', '商业配套齐全', '适合居住', '2', '品质好', '房子美观清爽', '房型方正得房率高', '3', '交通方便', '地铁', '4', '房东诚意', '房东希望尽快出租', '诚意客户可立刻签订合同', '5', '市场行情', '该小区空置情况很少', '到期的房源很快就被租出去了', '有需要的客户务必抓紧时间', '6', '物业到位', '规范化的物业管理', '周边环境整洁', '不同价位的都有', '独立厨房', '独立卫浴的都有']",38,0,住宅,residential,老公房,1,0,0,0,0,"['独卫', '空调']",0,1,0,0,0,0,0,0
3468,长租,*/6层,6层,斜土路,振兴小区,上海市,徐汇区,东安路240弄14号,徐汇,上海,7200,1,1,1,0,"['精致装修', '一房一厅加天井', '天井作为客厅使用', '所以可以算是一房两厅', '靠近东安路地铁站', '涉外风格装修', '看房方便']",42,0,住宅,residential,老公房,1,0,0,0,0,,0,0,0,0,0,0,0,0
3605,长租,*/6层,6层,万体馆,东安二村,上海市,徐汇区,东安路338弄,徐汇,上海,6200,1,0,1,0,"['装修精致一房面积大有阳台', '朝向好', '靠近东安路地铁站', '月底到期', '下个月初可以入住']",38,0,住宅,residential,老公房,1,0,0,0,0,,0,0,0,0,0,0,0,0
2742,长租,*/6层,6层,老法租界,东安二村,上海市,徐汇区,东安路35号,徐汇,上海,5800,1,1,1,0,"['房源位置', '东安二村', '东安路35号603室', '房源信息', '临近4号线东安路地铁站', '40平', '1房1厅1卫', '装修情况', '家具全配', '品牌家电']",70,0,住宅,residential,老公房,1,0,0,0,0,"['空调', '阳台', '独卫']",0,1,1,0,0,0,0,0
1366,长租,*/6层,6层,斜土路,东安二村,上海市,徐汇区,东安路86弄1号,徐汇,上海,6200,1,0,1,0,"['东安二村86号404室', '精装修一房', '现在已经空关', '随时可以看房', '精装修刚满一年', '保持的非常好', '干净整洁', '希望租客爱惜房子', '最好不养宠物', '小区就在地铁站4号线东安路站', '12号线龙华中路站旁', '步行10分钟以内', '看房提前30分钟电话联系']",36,0,住宅,residential,老公房,1,0,0,0,0,"['阳台', '独卫', '空调']",0,1,1,0,0,0,0,0
2714,长租,*/6层,6层,世博,临沂八村,上海市,浦东区,东方路81弄7号,浦东,上海,7100,2,1,1,0,"['房源信息', '临沂八村81弄7号404室租金7100元', '两房朝南', '房间特别大', '全明户型', '看房子随时', '交通', '地铁6号线临沂新村站', '公交四通八达']",60,0,住宅,residential,老公房,1,0,0,0,0,"['空调', '独卫', '阳台', 'WIFI']",0,1,1,1,0,0,0,0
3956,长租,*/6层,6层,,东泉,上海市,徐汇区,东泉路51弄,徐汇,上海,5000,2,1,1,0,"['家俱家电全配', '两房朝南', '房型方正', '地铁3号线石龙路2分钟路程']",70,0,住宅,residential,老公房,1,0,0,0,0,,0,0,0,0,0,0,0,0
3553,长租,*/6层,6层,江苏路,粮友,上海市,长宁区,东渚安浜路57弄57号,长宁,上海,6800,1,1,1,0,"['全新北欧风首次出租', '看房随时']",43,0,住宅,residential,老公房,1,0,0,0,0,,0,0,0,0,0,0,0,0
3670,长租,*/6层,6层,江宁路,,上海市,静安区,东诸安浜路158弄6号,静安,上海,6500,1,1,1,0,"['随时可以入住', '月租6000', '付一压二', '三楼', '五电梯', '50平', '位于东诸安浜路上', '离江苏路地铁站步行3分钟']",50,0,住宅,residential,老公房,1,0,0,0,0,,0,0,0,0,0,0,0,0
1750,长租,*/6层,6层,中山公园,北汪小区,上海市,长宁区,东诸安浜路165弄11号,长宁,上海,7200,2,1,1,0,"['房子是简约装修2房1厅', '南北户型', '近华敏商业广场', '步行地铁只需要5分钟']",65,0,住宅,residential,老公房,1,0,0,0,0,"['浴缸', '户外空间', '空调', '独卫', '阳台', 'WIFI']",0,1,1,1,1,1,0,0
1254,长租,*/6层,6层,江苏路,北汪小区,上海市,长宁区,东诸安浜路165弄14号,长宁,上海,11500,2,2,2,0,"['江苏路地铁站零距离', '步行到地铁仅需3分钟', '包网络', '电信宽带', '带阁楼', '2房2厅2卫', '开放式厨房', '配备烤箱', '冰箱等', '洗衣机带烘干', '家具家电齐全', '拎包入住', '南北通透', '采光佳', '无遮挡', '附近24小时便利店', '菜场', '餐厅', '咖啡厅等一应俱全', '即日起可看房', '12月12日空出起租', '请联系预约']",70,0,住宅,residential,老公房,1,0,0,0,0,"['空调', '独卫', '阳台', 'WIFI']",0,1,1,1,0,0,0,1
290,长租,*/6层,6层,江苏路,良友小区,上海市,长宁区,东诸安浜路63号,长宁,上海,8800,1,2,1,0,"['距离江苏路地铁站600多米', '龙之梦商圈', '配套设施完善', '著名设计师设计']",50,0,住宅/工作室,multi-use,老公房,1,0,0,0,0,,0,0,0,0,0,0,0,0
4106,长租,*/6层,6层,江苏路,北汪小区,上海市,长宁区,东诸安邦路165弄,长宁,上海,6800,2,1,1,0,"['小区环境好', '安全', '交通十分方便', '标准两房一厅', '精装修', '家具家电全配', '空关随时入住', '欢迎中介来电']",78,0,住宅,residential,老公房,1,0,0,0,0,"['暖气',  '空调']",1,1,0,0,0,0,0,0
399,长租,*/6层,6层,北蔡,由由一村,上海市,浦东区,严杨璐165弄19号,浦东,上海,5400,2,1,1,0,"['全新装修', '看房随时']",58,0,住宅,residential,老公房,1,0,0,0,0,"['户外空间', '空调', '独卫']",0,1,0,0,1,0,0,0
3535,长租,*/6层,6层,蓬莱公园,明日新城,上海市,黄浦区,中华路868弄35号,黄浦,上海,3300,1,1,1,0,"['高档小区', '环境优美', '精装修', '配置齐全', '拎包入住', '非常适合有品味的上班族']",28,0,住宅,residential,,0,0,0,0,1,['户外空间'],0,0,0,0,1,0,0,0
1753,长租,*/6层,6层,长寿路,格林公寓,上海市,普陀区,中山北1228弄1号,普陀,上海,4400,1,1,1,0,"['包宽带发票', '方便停车']",35,0,住宅,residential,,0,0,0,0,1,"['空调', '独卫', 'WIFI']",0,1,0,1,0,0,0,0
1754,长租,*/6层,6层,长寿路,格林公寓,上海市,普陀区,中山北路1228号,普陀,上海,4400,1,1,1,0,"['包宽带', '发票', '好停车']",35,0,住宅,residential,,0,0,0,0,1,"['空调', '独卫', 'WIFI']",0,1,0,1,0,0,0,0
264,长租,*/6层,6层,长寿路,中山北路2347弄,上海市,普陀区,中山北路2347弄23号,普陀,上海,5900,1,1,1,0,"['镇坪路地铁站几分钟', '一房一厅一卫一天井', '面积45平', '全新装修', '智能电视机', '烘干洗衣机', '空气净化器', '看房随时', '电子密码锁', '报价5900小谈']",45,0,住宅,residential,老公房,1,0,0,0,0,,0,0,0,0,0,0,0,0
4523,长租,*/6层,6层,,,上海市,普陀区,中山北路2626弄,普陀,上海,4300,1,0,1,0,"['看房方便', '出租中山北路2626弄1号204室大1室户', '近武宁路路口', '到地铁3号4号11号线仅5分钟', '租金4300元', '看房到马路对面中山北路2629号柯宇地产拿钥匙', '有意向请联系', '或加微信号w']",40,0,住宅,residential,老公房,1,0,0,0,0,,0,0,0,0,0,0,0,0
4146,长租,*/6层,6层,,陆一小区,上海市,普陀区,中山北路2655弄,普陀,上海,4500,1,1,1,0,"['十一可看', '提前两小时预约', '信息全部真实有效不用再确认', '有客人直接预约看房']",45,0,住宅,residential,老公房,1,0,0,0,0,,0,0,0,0,0,0,0,0
1813,长租,*/6层,6层,长寿路,悦樘公寓,上海市,普陀区,中山北路3571弄1号,普陀,上海,7500,1,1,1,0,"['悦樘', '是景瑞控股旗下专注于租赁式公寓管理的平台', '致力于成为公寓领域的资产运营引领者', '理念', '专为潮流一代打造', '不甘于平淡无奇的生活', '想要逃离城市生活的压力', '就来悦樘一起住进快乐', '包物业费网费服务费', '押一付一', '交通便利', '地铁', '地处中山公园和金沙江路地铁站中间', '公交', '224', '309', '67', '69', '754', '765', '829', '856', '909', '普陀社区巴士等十几辆公交', '开车', '内环高架旁', '精装全配', '健身房', '独立厨房', '吧台', '酒店式消防', '24小时全程全方位监控', '电梯', '品质共享', '专业店长', '管家', '销售', '保洁', '保安', '维修团队为您提供看房', '签约', '入住', '维修', '退房等全程全方位贴心服务', '入住前', '退房后提供一次免费打扫服务', '前台管理', '咨询', '报修', '网络调试', '定期组织社区活动', '免费看房', '免中介费', '公区免费WIFI', '配套完善', '超市', '好德便利店', '蔬店', '鲜多多水果批发市场', '银行', '工商银行', '医院药房', '1', '2KM雷允上', '海王星辰健康药房', '便餐', '250米内火锅', '烧烤', '便餐齐全', '1KM范围内衣食住行全配套', '龙之梦购物中心', '环球港', '300m加油站中国石化']",78,0,住宅,residential,,0,0,0,0,1,"['暖气', '户外空间',   '空调', '独卫', '阳台', 'WIFI']",1,1,1,1,1,0,0,0
1851,长租,*/6层,6层,长风,悦樘公寓,上海市,普陀区,中山北路3571弄2号,普陀,上海,9200,1,2,1,0,"['开业特惠', '商务出差旅行1个月起租', '长租6', '12个月优惠', '景瑞控股上市地产旗下高端品牌公寓', '1', '位置', '中山北路3751弄', '华东师范大学', '中北校区', '100米', '2', '无中介费', '租金已包含', '停车', '俱乐部', '阅书吧', '茶吧', '台球室', '健身房', '活动室等', '网络', '管理费', '免费配套', '民用水电燃气', '民用水电燃气', '民用水电燃气', '2', '交通', '地铁2', '3', '4号线中山公园地铁站', '3', '4', '13号线金沙江路地铁站', '出门即内环匝道口', '3', '服务式公寓', '套房', '精致装修', '家电齐全', '满足您对居家的各种需求', '4', '一门一锁', '智能门锁', '安全又方便', '5', '公寓免费配套', '公共区域组织社交化活动', '阅览室', '餐厅', '观影区', 'WiFi', '物业费', '全地暖供暖', '24小时保洁', '无任何管理费用', '6', '公寓服务', '前台服务', '24小时管家服务', '24小时无死角实时监控', '保安服务', '保洁服务', '安全保障', '24小时维修服务', '全程免费', '为你提供24小时的方便', '我们是独栋小院', '内有保安', '保证您的居住安全']",78,0,住宅,residential,,0,0,0,0,1,"['浴缸', '户外空间',   '独卫', '空调', 'WIFI']",0,1,0,1,1,1,1,0
435,长租,*/6层,6层,长风,,上海市,普陀区,中山北路3671弄555号,普陀,上海,6000,2,0,1,0,,45,0,住宅,residential,老公房,1,0,0,0,0,,0,0,0,0,0,0,0,0
1852,长租,*/6层,6层,长风,悦樘公寓,上海市,普陀区,中山北路3751弄1号,普陀,上海,9000,2,2,1,0,"['开业特惠', '商务出差旅行1个月起租', '长租6', '12个月优惠', '景瑞控股上市地产旗下高端品牌公寓', '1', '位置', '中山北路3751弄', '华东师范大学', '中北校区', '100米', '2', '无中介费', '租金已包含', '停车', '俱乐部', '阅书吧', '茶吧', '台球室', '健身房', '活动室等', '网络', '管理费', '免费配套', '民用水电燃气', '民用水电燃气', '民用水电燃气', '2', '交通', '地铁2', '3', '4号线中山公园地铁站', '3', '4', '13号线金沙江路地铁站', '出门即内环匝道口', '3', '服务式公寓', '套房', '精致装修', '家电齐全', '满足您对居家的各种需求', '4', '一门一锁', '智能门锁', '安全又方便', '5', '公寓免费配套', '公共区域组织社交化活动', '阅览室', '餐厅', '观影区', 'WiFi', '物业费', '全地暖供暖', '2']",80,0,住宅/工作室,multi-use,,0,0,0,0,1,"['浴缸', '户外空间',   '空调', '独卫', '阳台', 'WIFI']",0,1,1,1,1,1,1,0
200,长租,*/6层,6层,万体馆,申航小区,上海市,徐汇区,中山南二路2001弄,徐汇,上海,5800,1,1,1,0,"['靠近万体馆', '正规一房一厅一卫看房提前预约']",49,0,住宅,residential,老公房,1,0,0,0,0,"['空调', '独卫', '阳台']",0,1,1,0,0,0,0,0
3789,长租,*/6层,6层,万体馆,龙山新村,上海市,徐汇区,中山南二路960弄,徐汇,上海,6800,2,0,1,0,"['交通方便', '装修精致', '双南采光好', '随时看房子']",48,0,住宅,residential,老公房,1,0,0,0,0,,0,0,0,0,0,0,0,0
1571,长租,*/6层,6层,徐家汇,龙山新村,上海市,徐汇区,中山南二路960弄2号,徐汇,上海,7600,2,0,1,0,"['龙山新村', '万体馆旁', '上海体育场4号线', '黄金楼层', '三楼南北二房', '大阳台', '图片是刚刚拍的', '就是现在的状态', '干净整洁', '保持的非常好', '现在已经空关', '随时可以看房', '提前半小时电话联系就可以看房']",50,0,住宅,residential,老公房,1,0,0,0,0,"['空调', '独卫', '阳台']",0,1,1,0,0,0,0,0
2051,长租,*/6层,6层,徐家汇,龙山新村,上海市,徐汇区,中山南二路988弄99号,徐汇,上海,7300,1,1,1,0,"['全新装修', '首次出租', '进地铁']",35,0,住宅,residential,老公房,1,0,0,0,0,"['空调', '独卫', '阳台']",0,1,1,0,0,0,0,0
2474,长租,*/6层,6层,万体馆,龙山新村,上海市,徐汇区,中山南二路988弄9号,徐汇,上海,6000,1,1,1,0,"['近上海体育馆', '地铁1', '4', '11号线', '精装一房一厅', '看房提前联系']",40,0,住宅,residential,老公房,1,0,0,0,0,"['暖气', '独卫', '阳台', '户外空间', 'WIFI',   '空调']",1,1,1,1,1,0,0,0
3218,长租,*/6层,6层,,,上海市,黄浦区,中山南路1768弄1号,黄浦,上海,3800,1,1,1,0,"['本房属沿街面租房', '可住人', '也可做些小生意', '独立厨房', '独立卫生间']",35,0,住宅/工作室,multi-use,老公房,1,0,0,0,0,,0,0,0,0,0,0,0,0
2898,长租,*/6层,6层,老法租界,天钥二村,上海市,徐汇区,中山南路918弄180号,徐汇,上海,6200,1,0,1,0,"['1', '地段好', '核心区域', '商业配套齐全', '适合居住', '2', '品质好', '房子美观清爽', '房型方正得房率高', '3', '交通方便', '地铁', '4', '房东诚意', '房东希望尽快出租', '诚意客户可立刻签订合同', '5', '市场行情', '该小区空置情况很少', '到期的房源很快就被租出去了', '有需要的客户务必抓紧时间', '6', '物业到位', '规范化的物业管理', '周边环境整洁', '不同价位的都有', '独立厨房', '独立卫浴的都有']",35,0,住宅,residential,老公房,1,0,0,0,0,"['阳台', '独卫', '空调']",0,1,1,0,0,0,0,0
409,长租,*/6层,6层,虹桥,虹一小区,上海市,长宁区,中山西路1030弄46号,长宁,上海,9500,1,2,1,0,"['一房俩厅', '65平墙暖', '南北通', '全新装修', '密码锁', '随时看', '信同号']",65,0,住宅,residential,老公房,1,0,0,0,0,"['暖气', '户外空间', '空调', '独卫', '阳台']",1,1,1,0,1,0,0,0
1887,长租,*/6层,6层,徐家汇,长春小区,上海市,徐汇区,中山西路1788弄21号,徐汇,上海,7300,1,1,1,0,"['全新装修', '首次出租']",47,0,住宅,residential,老公房,1,0,0,0,0,"['空调', '独卫',  '阳台']",0,1,1,0,0,0,0,0
1729,长租,*/6层,6层,老法租界,长春小区,上海市,徐汇区,中山西路1788弄2号,徐汇,上海,8500,2,1,1,0,"['超大两房朝南', '厨卫全明', '精装修', '全新家电', '地铁3', '4', '9号线步行10分钟', '看房提前半天预约', '中山西路1788弄2号601室', '交房时里面临时放置的物品会清空', '保洁', '随时起租']",80,0,住宅,residential,老公房,1,0,0,0,0,['空调'],0,1,0,0,0,0,0,0
3277,长租,*/6层,6层,,家电大楼,上海市,长宁区,中山西路380号,长宁,上海,298,1,1,1,0,"['可以按月租', '月', '设施齐全', '应有尽有', '做饭', '洗浴用品都有', '闪光点', '中山公园', '龙之梦', '辐射中心地带', '凯德来福士', '步行距离可到', '一室一厅高性价比四人入住', '超大开放式厨房', '玻璃淋浴房', '冰箱', '洗衣机麻雀虽小', '五脏俱全', '低调朴素的温馨氛围内饰', '让你身在异乡也能感受到家的温暖', '成熟小区', '周边生活设施完善', '是长期居住的好选择', '周边500m内有可的便利店', '菜市场', '餐馆', 'ATM机', '药店', '完全便利生活']",40,0,住宅,residential,老洋房,0,1,0,0,0,,0,0,0,0,0,0,0,0
3402,长租,*/6层,6层,,中漕,上海市,徐汇区,中漕路26号,徐汇,上海,7500,1,1,1,0,"['房源位置', '徐家汇', '中漕路26号501室', '无电梯', '房源信息', '1房1厅1卫', '55平', '步行至1', '4号线上海体育馆地铁站5分钟', '临近非洲国际', '星游城', '港汇等商圈', '装修情况', '家具全配', '拎包入住', '租金价格', '7500元', '月']",55,0,住宅,residential,老公房,1,0,0,0,0,,0,0,0,0,0,0,0,0
2529,长租,*/6层,6层,老法租界,中原新村,上海市,徐汇区,中漕路38弄13号,徐汇,上海,8500,3,1,3,0,"['地铁1', '3', '4号线万体馆站', '精装修', '带地暖', '随时入住', '可整租分租', '要求客户爱干净', '合作房源', '三个房间都有卫生间', '没有厨房']",70,0,住宅,residential,老公房,1,0,0,0,0,"['暖气', '户外空间', '空调', '独卫', 'WIFI']",1,1,0,1,1,0,1,0
210,长租,*/6层,6层,万体馆,中原新村,上海市,徐汇区,中漕路38弄8号,徐汇,上海,9000,2,1,1,0,"['上海体育馆地铁站零距离', '正对飞洲国际', '出门宜家', '品牌家电', '家具齐全']",65,0,住宅,residential,老公房,1,0,0,0,0,"['空调', '独卫', '阳台']",0,1,1,0,0,0,0,0
2956,长租,*/6层,6层,长征,丰庄四村,上海市,普陀区,丰庄北路480弄85号,普陀,上海,6500,2,2,1,0,"['涉外装修', '滚动洗衣机', '智能Wifi电视', '智能密码锁']",69,0,住宅/工作室,multi-use,老公房,1,0,0,0,0,"['空调', '独卫', '阳台', 'WIFI']",0,1,1,1,0,0,0,0
2776,长租,*/6层,6层,丰庄,十四街坊,上海市,嘉定区,丰庄西路551弄18号,嘉定,上海,7000,3,0,1,0,"['可长短签', '随时看房密码锁', '佣金当场结算']",65,0,住宅,residential,老公房,1,0,0,0,0,"['空调', '独卫', '阳台']",0,1,1,0,0,0,0,0
2765,长租,*/6层,6层,徐家汇,金龙花苑茶花园,上海市,徐汇区,丰谷路185弄1号,徐汇,上海,3000,3,1,1,0,"['房源介绍', '房型好', '室内比较干净', '民用用水', '民用用电', '民用用气', '室友平均承担', '此房属于合租房', '一门一锁', '每一个租户我这里都会有登记', '可以保证你入住安全', '小区介绍', '宏润花园内部环境优雅', '小区绿化30', '以上', '电梯房', '小区物业管理完善', '住在这里很安全', '周边设施配套成熟', '周边介绍', '从小区步行就到商业街', '步行可到达地铁站', '出行十分便利', '周边学校', '银行', '超市', '菜市场等便民设施齐全']",95,0,住宅,residential,,0,0,0,0,1,"['空调', 'WIFI']",0,1,0,1,0,0,0,0
567,长租,*/6层,6层,徐汇滨江,玫瑰园,上海市,徐汇区,丰谷路205弄17号,徐汇,上海,9000,2,1,1,0,"['物业地址位于南外滩丰谷路205弄', '近云锦路11号线', '两房一厅一卫', '新装修', '面积50平', '报价9000元', '带内阳台', '看房方便']",50,0,住宅,residential,老公房,1,0,0,0,0,"['空调', '阳台']",0,1,1,0,0,0,0,0
2729,长租,*/6层,6层,龙华,丰三小区,上海市,徐汇区,丰谷路300弄5号,徐汇,上海,6000,2,1,1,0,"['可长短签', '随时看房密码锁', '佣金当场结算']",68,0,住宅,residential,老公房,1,0,0,0,0,"['空调', '独卫', '阳台']",0,1,1,0,0,0,0,0
3872,长租,*/6层,6层,,阳曲小区,上海市,闸北区,临汾路11号,闸北,上海,4000,2,1,1,0,['双南阳光充足楼层好地段佳'],58,0,住宅,residential,老公房,1,0,0,0,0,['浴缸'],0,0,0,0,0,1,0,0
1570,长租,*/6层,6层,老法租界,乌中小区,上海市,徐汇区,乌鲁木齐中路243号,徐汇,上海,8500,1,1,1,0,"['乌中小区多层房', '近常熟路地铁']",45,0,住宅,residential,老公房,1,0,0,0,0,"['空调', '独卫']",0,1,0,0,0,0,0,0
